nombre,tiempo,medalla,anio,sexo
Jim Hines,9.95,gold,1968,male
Lennox Miller,10.04,silver,1968,male
Charles Greene,10.07,bronze,1968,male
Wyomia Tyus,11.08,gold,1968,female
Barbara Ferrell,11.15,silver,1968,female
Irena Szewinska,11.19,bronze,1968,female
Valeriy Borzov,10.14,gold,1972,male
Robert Taylor,10.24,silver,1972,male
Lennox Miller,10.33,bronze,1972,male
Renate Stecher,11.07,gold,1972,female
Raelene Boyle,11.23,silver,1972,female
Silvia Chivas,11.24,bronze,1972,female
Hasely Crawford,10.06,gold,1976,male
Donald Quarrie,10.08,silver,1976,male
Valeriy Borzov,10.14,bronze,1976,male
Annegret Richter,11.08,gold,1976,female
Renate Stecher,11.13,silver,1976,female
Inge Helten,11.16,bronze,1976,female
Allan Wells,10.25,gold,1980,male
Silvio Leonard,10.27,silver,1980,male
Pietro Mennea,10.39,bronze,1980,male
Lyudmila Kondratyeva,11.06,gold,1980,female
Marita Koch,11.1,silver,1980,female
Ingrid Auerswald,11.14,bronze,1980,female
Carl Lewis,9.99,gold,1984,male
Sam Graddy,10.19,silver,1984,male
Ben Johnson,10.22,bronze,1984,male
Evelyn Ashford,10.97,gold,1984,female
Alice Brown,11.13,silver,1984,female
Merlene Ottey,11.16,bronze,1984,female
Ben Johnson,9.79,gold,1988,male
Carl Lewis,9.92,gold,1988,male
Linford Christie,9.97,silver,1988,male
Calvin Smith,9.99,bronze,1988,male
Florence Griffith-Joyner,10.54,gold,1988,female
Evelyn Ashford,10.83,silver,1988,female
Heike Drechsler,10.85,bronze,1988,female
Linford Christie,9.96,gold,1992,male
Frankie Fredericks,10.02,silver,1992,male
Dennis Mitchell,10.04,bronze,1992,male
Gail Devers,10.82,gold,1992,female
Juliet Cuthbert,10.83,silver,1992,female
Irina Privalova,10.84,bronze,1992,female
Donovan Bailey,9.84,gold,1996,male
Frankie Fredericks,9.89,silver,1996,male
Ato Boldon,9.9,bronze,1996,male
Gail Devers,10.94,gold,1996,female
Merlene Ottey,10.94,silver,1996,female
Gwen Torrence,10.96,bronze,1996,female
Maurice Greene,9.87,gold,2000,male
Ato Boldon,9.99,silver,2000,male
Obadele Thompson,10.04,bronze,2000,male
Marion Jones,10.75,gold,2000,female
Ekaterini Thanou,11.12,silver,2000,female
Tanya Lawrence,11.18,bronze,2000,female
Justin Gatlin,9.85,gold,2004,male
Francis Obikwelu,9.86,silver,2004,male
Maurice Greene,9.87,bronze,2004,male
Yulia Nestsiarenka,10.93,gold,2004,female
Lauryn Williams,10.96,silver,2004,female
Veronica Campbell-Brown,10.97,bronze,2004,female
Usain Bolt,9.69,gold,2008,male
Richard Thompson,9.89,silver,2008,male
Walter Dix,9.91,bronze,2008,male
Shelly-Ann Fraser,10.78,gold,2008,female
Sherone Simpson,10.98,silver,2008,female
Kerron Stewart,10.98,silver,2008,female
Usain Bolt,9.63,gold,2012,male
Yohan Blake,9.75,silver,2012,male
Justin Gatlin,9.79,bronze,2012,male
Shelly-Ann Fraser-Pryce,10.75,gold,2012,female
Carmelita Jeter,10.78,silver,2012,female
Veronica Campbell-Brown,10.81,bronze,2012,female
Usain Bolt,9.81,gold,2016,male
Justin Gatlin,9.89,silver,2016,male
Andre De Grasse,9.91,bronze,2016,male
Elaine Thompson,10.71,gold,2016,female
Tori Bowie,10.83,silver,2016,female
Shelly-Ann Fraser-Pryce,10.86,bronze,2016,female
Marcell Jacobs,9.8,gold,2020,male
Fred Kerley,9.84,silver,2020,male
Andre De Grasse,9.89,bronze,2020,male
Elaine Thompson-Herah,10.61,gold,2020,female
Shelly-Ann Fraser-Pryce,10.74,silver,2020,female
Shericka Jackson,10.76,bronze,2020,female
