anio,sexo,promedio
1968,female,11.14
1968,male,10.02
1972,female,11.18
1972,male,10.23666667
1976,female,11.12333333
1976,male,10.09333333
1980,female,11.1
1980,male,10.30333333
1984,female,11.08666667
1984,male,10.13333333
1988,female,10.74
1988,male,9.9175
1992,female,10.83
1992,male,10.00666667
1996,female,10.94666667
1996,male,9.876666667
2000,female,11.01666667
2000,male,9.966666667
2004,female,10.95333333
2004,male,9.86
2008,female,10.91333333
2008,male,9.83
2012,female,10.78
2012,male,9.723333333
2016,female,10.8
2016,male,9.87
2020,female,10.70333333
2020,male,9.843333333
